faq_id,category,question,answer,keywords,source
FAQ088,Library services,What if the library doesn't have the book I need?,You can request it through the Interlibrary Loan service.,"interlibrary, request, not found",Library services
FAQ089,Library services,Is there a quiet study area?,The third floor of the library is designated as a strict quiet zone.,"quiet, silence, zone",Library services
FAQ090,Library services,Can alumni use the library?,Alumni can purchase a discounted library membership for access.,"alumni, graduate, access",Library services
FAQ091,Campus facilities,Where is the student health center located?,"The health center is located in Building 4, next to the gymnasium.","health, medical, location",Campus guide
FAQ092,Campus facilities,Is there a gym on campus?,"Yes, the campus recreational center includes a fully equipped gym.","gym, fitness, workout",Campus guide
FAQ093,Campus facilities,How do I get a parking permit?,Parking permits can be purchased through the campus security office.,"parking, car, permit",Campus guide
FAQ094,Campus facilities,What food options are available on campus?,"There are multiple cafeterias, a food court, and several coffee shops.","food, eat, cafeteria",Campus guide
FAQ095,Campus facilities,Is there campus-wide Wi-Fi?,"Yes, Eduroam Wi-Fi is available across the entire campus.","wifi, internet, connect",Campus guide
FAQ096,Campus facilities,Where is the IT helpdesk?,The IT helpdesk is on the first floor of the main library.,"it, computer, help",Campus guide
FAQ097,Campus facilities,Are there ATMs on campus?,"Yes, ATMs from major banks are located in the student union building.","atm, cash, money",Campus guide
FAQ098,Campus facilities,Is the campus wheelchair accessible?,"Yes, all academic buildings have ramps and elevators.","wheelchair, accessible, disable",Campus guide
FAQ099,Campus facilities,What are the security office hours?,Campus security operates 24/7.,"security, safety, police",Campus guide
FAQ100,Campus facilities,Is there a campus lost and found?,"Yes, lost and found is managed by the security office at the main gate.","lost, found, item",Campus guide
